,Korean,English,score,conversation_fixed_result,Vanila_EXAONE_result,GPT-4_result,CLOVA-X_result,Claude_result
85,예 확인 감사드립니다 전화 받으신 주사님 성함이 어떻게 되십니까,"Yes, thank you for checking. What is the name of the person who answered the phone?",2,"네, 확인해 주셔서 감사합니다. 전화를 받은 사람의 이름이 무엇인가요?","네, 확인해 주셔서 감사합니다. 전화를 받은 사람의 이름은 무엇인가요?","네, 확인해 주셔서 감사합니다. 당시 전화를 받은 분의 이름이 무엇인가요?","네, 확인해 주셔서 감사합니다. 전화받은 사람의 이름이 무엇인가요?","네, 확인해 주셔서 감사합니다. 전화를 받은 분의 이름이 무엇인가요?"
86,항상 도움 주셔서 감사합니다,Thank you for always helping me,2,항상 저를 도와주셔서 감사합니다.,항상 저를 도와주셔서 감사합니다.,항상 도와주셔서 감사합니다.,항상 도와주셔서 감사합니다,항상 저를 도와주셔서 감사합니다
87,그러세요 어떤 건으로 문의 주셨나요,"So, what is your inquiry?",2,그래서 무엇을 문의하시나요?,그래서 무엇을 문의하시나요?,그래서 어떤 문의사항이신가요?,그래서 문의 사항이 무엇인가요?,"그래서, 무엇을 문의하시겠습니까?"
88,지금 열 다섯 살 됐어요,I'm fifteen now,2,저는 지금 열다섯 살입니다.,저는 지금 15살입니다.,저는 지금 15살이에요.,저는 이제 열다섯 살이에요,이제 15살이에요
89,그러면 명확하게 나누어져 있으면 등록을 따로 할 수 있다는 거죠,"So if it's clearly divided, you can register it separately.",2,그러므로 명확하게 구분된 경우 별도로 등록할 수 있습니다.,그러므로 명확하게 구분된 경우 별도로 등록할 수 있습니다.,그래서 명확히 나뉘면 따로 등록할 수 있어요.,확실히 구분되어 있으면 따로 등록할 수 있습니다.,그래서 명확하게 구분되면 따로 등록할 수 있습니다.
90,이번 달에 시행이 이미 된 겁니까,Has it already been implemented this month?,2,이 달에 벌써 시행된 거야?,이 달에 이미 시행되었나요?,이번 달에 이미 시행되었나요?,이번 달에 이미 시행되었나요?,이번 달에 이미 시행되었나요?
91,네 선생님 어떤 문의 이신지 먼저 말씀 부탁드립니다,"Yes, sir, please tell me first what your inquiry is.",2,"네, 네. 먼저 문의하실 내용을 말씀해 주시겠습니까?","네, 네. 먼저 문의하실 내용이 무엇인지 말씀해 주세요.","네, 선생님, 먼저 어떤 문의사항인지 말씀해 주세요.","네, 선생님. 먼저 문의 사항을 말씀해 주세요.","네, 선생님. 먼저 무엇을 문의하시겠습니까?"
92,병원에서는 건강하다고 해? 어떻대?,The hospital said you're healthy? How is it?,1,병원에서 건강하다고 했대? 어떻게 된 거야?,병원에서 건강하다고 했는데 어떻게 된 거야?,병원에서 건강하다고 하셨죠? 괜찮으신가요?,병원에서 건강하다고 하셨나요? 어떠세요?,병원에서 건강하다고 하셨나요? 어떻게 되셨어요?
93,제가 경북 도지사님께 건의드릴 게 있어서요,I have a suggestion for the Gyeongbuk Governor.,2,경상북도지사님께 제안이 있습니다.,경상북도지사님께 제안이 있습니다.,경북 도지사님께 제안이 있습니다.,경북지사님께 제안이 있습니다.,경북도지사에게 제안이 있습니다.
94,선생님 해당 란각코드랑 농장을 알려주시겠어요,"Teacher, can you tell me the corresponding lanquan code and farm?",2,"선생님, 해당 언어 코드와 농장을 알려주실 수 있나요?","선생님, 해당 언어 코드와 농장을 알려주실 수 있나요?","선생님, 해당 lanquan 코드와 농장을 알려주실 수 있나요?","선생님, 해당 란콴 코드와 농장을 알려주실 수 있나요?","선생님, 해당 랜콴 코드와 농장 알려주실 수 있나요?"
95,11월달인데 곧 다가와서 준비 하려고!,It's November and it's almost here so I'm going to have to get ready!,1,11월이 되어서 거의 다가오니까 준비해야겠어!,11월이 되어 거의 다가오고 있으니 준비를 해야 할 것 같아요!,11월이고 거의 다 와서 준비해야겠어요!,11월이고 거의 다 왔으니 준비해야 할 것 같아요!,11월이고 거의 다 왔으니 준비해야 해요!
96,감사합니다 무더운 날씨에 수고하세요,Thank you for your hard work in this hot weather.,2,더운 날씨 속에서도 열심히 일해주셔서 감사합니다.,더운 날씨에 열심히 일해줘서 고마워요.,더운 날씨에 수고 많으셨습니다.,더운 날씨에 수고 많으셨습니다.,이렇게 더운 날씨에 수고 많으셨습니다.
97,그와 관련해서는 #@소속#에 건의해 주시면 좋을 듯 싶습니다,"Regarding that, I think it would be good if you made a suggestion to #@affiliation#",2,"그 점에 대해, #@affiliation#에게 제안을 해주시면 좋을 것 같습니다.","그 점에 대해, #@affiliation#에게 제안을 하면 좋을 것 같습니다.",관련해서 #@affiliation#에 제안해 주시면 좋을 것 같아요.,그와 관련하여 #@Affiliation#에 제안을 하시는 것이 좋을 것 같습니다.,그와 관련해서 #@소속#에 제안을 하면 좋을 것 같습니다.
98,뒤쪽으로요 삼백 미터요,"Back, three hundred meters.",2,뒤로 300미터.,뒤로 300미터.,뒤로 300미터입니다.,"뒤로, 300미터.",뒤로 300미터.
99,선생님 불편드려 정말 죄송합니다,"Teacher, I am truly sorry for the inconvenience.",2,"선생님, 불편을 끼쳐드려 진심으로 죄송합니다.","선생님, 불편을 끼쳐드려 정말 죄송합니다.","선생님, 불편을 끼쳐드려 정말 죄송합니다.","선생님, 불편을 드려 정말 죄송합니다.","선생님, 불편을 드려 정말 죄송합니다."
