Korean,English
키키 아 이시영은 진짜 넘사벽인 듯!,"Kiki Ah, Lee Si-young is really amazing!"
팔도 자기보다 길어서 자기 팔이 안 닿을 거래 키키,"Kiki's arms are longer than hers, so she can't reach them."
키키 이시영 매일 아침에 20키로 달린대!,Kiki Lee Si-young runs 20 kilometers every morning!
걔 진짜 인생 멋있게 사는 거 같더라 키키,"Kiki, she seems to be living a really cool life."
"맞아 오빠 스위트홈에서 이시영 몸매 봤어,?","Right, Oppa, did you see Lee Si-young's body in Sweet Home?"
아 이시영 몸매가 나와?,"Oh, Lee Si-young's body is showing?"
그럼 내가 다시 봐줘야겠네 키키,"Then I guess I'll have to look at it again, Kiki"
오빠는 영화 액션 장르 되게 좋아하지?,"Oppa, do you really like action movies?"
그치,right
아무래도 즐겨서 보는 편이긴 하지 키키,I guess I enjoy watching Kiki
그러면 오빠 이번에 싱크홀 봤어?,"So, did you see the sinkhole this time, oppa?"
그건 액션이라고 보기에 너무 어렵지 않냐 키키,"Isn't that too hard to see as action, Kiki?"
엑션~ 재난~ 코미디~ 다 있는 거지~,"Action, disaster, comedy, it's all there~"
내가 보기엔 그거 코미디야 키키,I think it's a comedy Kiki
키키 아 진짜?,"Kiki, really?"
그러면 최근에 뭐 봤어?,So what have you seen recently?
최근에 나는 영화는 안 보고 넷플에서 종이의집 보고 있어 키키,"Lately I haven't been watching movies, but I've been watching Kiki on Netflix."
종이의 집 그거 시리즈 되게 많지 않아?,Aren't there a lot of Paper House series?
맞아 지금 시즌1 10화까지 봤거든 키키,"Yes, I've watched up to season 1 episode 10 of Kiki."
정주행해야 해,I have to drive straight
홉 키키 그거 줄거리가 어떻게 돼?,"Hop Kiki, what's the plot?"
지금 인물 소개했고 조폐국 점령하고 인질 두고선 협상하는 중이야 키키,I just introduced the characters and we're in the process of taking over the mint and negotiating with the hostages.
그러면 애들이 다 도둑인 거야?,So are all kids thieves?
응 그런 셈인데 그걸 영웅으로 포장하려고 머리 좋은 우두머리가 몇 년 동안 계획을 했어 키키,"Yeah, that's what it was, but the smart head planned it for years to make it look like a hero."
키키 아 진짜?,"Kiki, really?"
그 계획을 지금을 실행 중인 거고?,Are you executing that plan now?
응 그래서 협상하는 대장이 사람들한테 욕먹고 있어 키키,"Yeah, so the negotiating leader is getting cursed at by people Kiki"
언니는 싫어하는 음식 있어?,"Sister, is there any food you don't like?"
웅 있어,"Yeah, there is"
많지,Not much
아주 많이,Very much
헐 언니 편식 자주 하는 편이야?,"Wow, are you a picky eater often?"
웅 나 편식쟁이야 완전,"Yeah, I'm a total picky eater"
헐~ 언니 뭐 안 먹는데?,"Wow~ Sister, what aren't you eating?"
콩 김치 고사리 콩나물,"Beans, kimchi, bracken, bean sprouts"
그러면 나는 언니 옆에만 있어야겠다~,Then I will just stay by my sister's side~
웅 그럼 너가 다 먹을 수 있어,"Okay, then you can eat it all."
키키 당연하지,Kiki Of course
다 내가 좋아하는 것들이야!,These are all things I like!
아 정말 너는 편식 안 해?,"Oh really, you're not a picky eater?"
나 딱 한 가지 편식해!,I'm only picky about one thing!
아 정말 어떤 거!,"Oh really, what a thing!"
뭔데 궁금하다,I wonder what it is
나는 버섯 입에도 안 대!,I don't even put mushrooms in my mouth!
아 버섯 왜 맛있잖아?,"Oh, why are mushrooms so delicious?"
키키 나는 버섯 물컹거리는 거 정말 싫어해!,Kiki I really hate squishy mushrooms!
아 진짜 몰캉한 거 싫어하는구나?,"Oh, you really hate soft things?"
언니 부모님이랑 같이 산다고 했지?,"You said you live with your sister's parents, right?"
아니,no
나는 자취하고 있어,I'm living alone
오 언니 자취 몇 년 차야!?,"Oh, how many years have you been living alone?"
아 진짜 나는 5년 차야 하하,Oh seriously I'm in my 5th year haha
헐 언니가 그러면 몇 살 때 독립한 거야?,"Wow, at what age did you become independent, sister?"
나 23살 때 자취했어 ㅠㅠ,I started living alone when I was 23 ㅠㅠ
멋있다,stylish
회사 때문에 나온 거야?,Did you come out because of the company?
아니,no
엄빠랑 트러블 때문에,Because of trouble with my dad
"헐, 부모님이랑 자주 싸웠어?","Wow, did you fight with your parents often?"
웅 그래서 집에서 나왔어,"Yeah, that's why I left home."
그래 차라리 어느 정도 거리를 두는 게 낫더라!,"Yeah, it's better to keep some distance!"
웅 집에 늦게 들어온다고 그래서,"Yeah, that's why I said I'll be home late"
키키 나는 그냥 혼나고 무시해 그럴 때는!,Kiki I just get scolded and ignored when that happens!
아 정말 나는 친구들이랑 편하게 놀고 싶어허,"Oh, I really want to hang out comfortably with my friends."
키키 그래서 나오니까 좋아?,"Kiki, so you like it when I come out?"
어때?,how is it?
웅 좋은 점도 있고 나쁜 점도 있고,"Yeah, there are good and bad points."
언니는 자차 있다고 했잖아!,"Sister, you said you had your own car!"
웅 있지,"Yeah, right"
자동차 너무 좋아,I love cars so much
그렇구나,I see
언제 샀다고 했지?,When did you say you bought it?
나 작년에 샀어,I bought it last year
얼마 안 됐지,It hasn't been that long
언니도 차에다가 별명 지어줬어?,Did you give your car a nickname too?
아 아직 고민 중이야,"Oh, I'm still thinking about it"
멀로 할까?,What should I do?
나는 내 이름 끝자리 따서 *카로 지었어,I named myself *karo after the last syllable of my name
언니도 그렇게 하는 게 어때?,"How about you do that too, sister?"
나는 그럼 뚜기라고 해야겠다,Then I guess I should call it a ttukki
키키 어 뚜기?,"Kiki, where are you?"
생각보다 너무 귀여운걸?,It's cuter than I thought?
웅 내 차도 귀여우니까 하하 그걸로 해야겠다,Yeah my car is cute too haha I guess I'll go with that
맞아,that's right
차 색은 무슨 색이야?,What color is the tea?
움 내 차는 흰 색깔이야,Um my car is white
이뻐,Pretty
역시 차는 흰색이 진리지!,"After all, white is the truth when it comes to cars!"
차는 흰색이 최고지 역시,"White is the best color for tea, after all"
키키 그렇구나,"Kiki, I see"
언니 차종은 뭐야?,"Sister, what model car do you drive?"
나 아반떼 신형이야,I have a new Avante
하하 좋아,Haha okay
언니는 회사 사람 분들이랑 사이 어때?,"How are your relationships with people at work, sister?"
웅 친하게 지내고 있지,"Yeah, we're on good terms"
분위기 메이커,Mood maker
키키 언니가 회사에서 분위기 메이커야?,Is Kiki the mood maker at work?
웅 내가 제일 막내라서 하하,Yeah because I'm the youngest haha
그렇구나,I see
역시 막내~,As expected from the youngest~
나도 막내야~,I'm the youngest too~
막내가 힘들어 사회 생활하기,The youngest has a hard time living in society
"키키 인정,","Kiki admits,"
"나는 근데 오늘 안 좋은 일 있었어,","But I had a bad day today,"
인정 인정,"Admit it, admit it"
왜 무슨 일?,Why what happened?
"아니 우리 팀 직원 분들이 다른 곳으로 갔거든,","No, our team members went to another place."
아 정말,Oh really
그렇구나,I see
힘들었겠다,It must have been hard
"어 맞아,","Oh right,"
간 분들 거까지 남은 사람이 해야 해서 힘들어!,It's hard because the people who are left have to do what the people who left did!
아 정말 일을 다해야 하는구나,"Oh, I really have to do all the work"
ㅜㅜ 맞아,ㅜㅜ That's right
"오늘 퇴근 못할 뻔했어,","I almost couldn't get off work today,"
휴 나도 그럴 때 많았는데,"Whew, I've had that happen to me a lot too"
ㅜㅜ 언니도 이런 일 자주 생겨?,"ㅜㅜ Does this happen to you often too, unnie?"
웅 갑자기 퇴사하는 사람들 때문에,"Yeah, because of people who suddenly quit their jobs"
언니는 직업군인이랑 사귀어 본 적 있어?,"Sister, have you ever dated a career soldier?"
웅 사귄 적 한 번 있어,"Yeah, I dated someone once"
아 진짜?,Oh really?
어땠어?,How was it?
좋았어?,Was it good?
웅 근데 너무 빡빡해,Yeah but it's too tight
키키 맞아 군인들 되게 바쁘지 않아?,"Kiki, right? Aren't the soldiers really busy?"
웅 바빠 군인이라 그런가 애교가 없어,"Yeah, he's a busy soldier, so he's not cute"
아앗 키키,Aah Kiki
근데 그것도 케바케임!,But that's also Kebakkeim!
애교 많은 사람이 좋은데 ㅠㅠ,I like people who are cute ㅠㅠ
키키 군인도 애교 많은 사람 있어!,Kiki the Soldier is also a very cute person!
군인 중에 애교있는 사람 어디 찾아줘,Can you find me a cute person among the soldiers?
키키 근데 이미 다들 여자가 있더라~,Kiki but everyone already has a girlfriend~
찾아주세요,Please find it
다들 여자가 있겠지 역시,Everyone must have a woman
근데 결국에 군인 오빠들 너무 바빠서 다 차임 키키,"But in the end, the military brothers were too busy to do anything"
군인은 힘들어,Soldiers have a hard time
진짜 차이게 생겼어,It really looks different
"키키 맞아,","Kiki is right,"
그리고 데이트도 맨날 집에서 해 가지고 차임 키키,And I always date at home and I like Chime Kiki
아 정말 안타깝지만 그래도 맞는 사람끼리 만나야지,"Oh, it's really unfortunate, but still, the right person should meet."
언니는 지금 하고 싶은 공부 있어?,"Sister, is there anything you want to study right now?"
나는 공부하는 게 제일 싫어 ㅠㅠ,I hate studying the most ㅠㅠ
키키 그래도 자격증이라든가 뭐 운동이라든가 없어?,Kiki: But you don't have any qualifications or any sports?
나 자격증 피부미용사 하고 싶어,I want to become a certified esthetician
아 피부미용사!,"Ah, a beautician!"
그거 국가 자격증 맞지?,Is that a national qualification?
웅 맞아,"Yeah, that's right"
공부하고 싶은데 머리가 안 좋아,"I want to study, but I'm not smart enough"
키키 근데 그거는 실습 위주라 충분히 할 수 있지 않을까?,"Kiki: But since that's mostly practice-based, wouldn't it be doable?"
웅 한번 해볼까 생각 중이야,"Yeah, I'm thinking about giving it a try"
맞아 내 친구도 그거 하고 있는데 생각보다 재미있대!,"Yeah, my friend is doing that too and he says it's more fun than he thought!"
아 정말 부럽다,"Oh, I'm so jealous"
나도 빨리 해볼까,Should I try it quickly too?
키키 아 근데 배우는 건 논산에는 없다고 했어!,"Kiki, but I heard that there's no place to learn in Nonsan!"
아 진짜 배우는 게 논산에는 없구나,"Ah, there really isn't anything to learn in Nonsan."
키키 어 최소 대전 나가서 해야 해 ㅜㅜ,"Kiki, at least you have to go to Daejeon and do it ㅜㅜ"
아 대전까지 가야 하는구나 ㅠㅠ,"Ah, I have to go all the way to Daejeon ㅠㅠ"
어 맞아,Oh right
언니 자차 있으니까 갈 수 있음!,"Sister, you can go because you have your own car!"
나중에 함 해봐야겠다 도전,I'll have to try it later
언니네 아부지는 요즘 무슨 일하셔?,What does your sister's father do these days?
우리 아부지는 자영업하셔,My father is self-employed
자영업이라면 어떤 분야에 계시는 거야?,"If you are self-employed, what field are you in?"
음식류 가게 하고 있어,I'm running a grocery store
아 식당 운영하고 계시는구나?,"Oh, you run a restaurant?"
웅 식당 하고 있어 엄마랑 하하,Yeah I'm having a restaurant with my mom haha
언니 그러면 주말에 나가서 도와드리겠네?,"Sister, then will you go out and help me out on the weekend?"
아니,no
삼계탕 집 하셔,Open a samgyetang restaurant
난 치킨이 좋아,I like chicken
"와, 삼계탕, 여름에 대박이지 않아?","Wow, Samgyetang, isn't it a hit in the summer?"
움 맞아,"Um, right"
삼계탕 너무 질려,I'm so sick of samgyetang
키키 나는 삼계탕 완전 좋아하는데!,Kiki I really like Samgyetang!
난 치킨이 더 좋아,I like chicken better
키키 치킨?,Kiki Chicken?
삼계탕이 더 영양가 있고 좋은 거야!,Samgyetang is more nutritious and better!
나중에 치킨집 차릴 거야 나는,I'm going to open a chicken restaurant later.
키키 어 어디 브랜드 차릴 예정이십니까?,"Kiki, where are you planning to start your own brand?"
교촌치킨 차릴 거야 나는,I'm going to prepare Kyochon Chicken
언니는 아이 낳을 생각 있어?,"Sister, are you thinking of having children?"
아이는 빨리 낳고 싶어,I want to have a child soon
아 진짜?,Oh really?
몇 명 낳고 싶어?,How many children do you want to have?
딸 하나 아들 하나 정말로 낳고 싶다,I really want to have a daughter and a son
아들이 첫째고 딸이 둘째? 이렇게?,Son is first and daughter is second? Like this?
웅 아들 첫째 둘째 딸,"Yeah, first son, second daughter"
근데 그 순서가 진짜 이상적인 순서긴 함!,But that order is really the ideal order!
웅 맞아,"Yeah, that's right"
그래도 딸이 최고,Still my daughter is the best
키키 나도 딸 가지고 싶음,Kiki I want a daughter too
목욕탕 같이 가야 해!,We have to go to the bathhouse together!
웅 맞아,"Yeah, that's right"
엄마가 나 같은 딸 꼭 낳아 보래,My mom wants to have a daughter like me
키키 어? 근데 그거는 우리 엄마도 그렇게 얘기했어~,"Kiki, huh? But that's what my mom said too~"
웅 맞아 키키,Yeah right Kiki
할머니도 그렇게 말했대,My grandmother said the same thing
키키 와오 ㅋㅁ 키키,Kiki wow lol Kiki
그래서 다 같은 자식들이 나온 건가?,"So, are all the children born the same?"
웅 다들 같은 맘인가 봐,"Yeah, I guess everyone feels the same way"
키키 언니는 언니 같은 딸 나오면 어떻게 할 거야?,What would Kiki do if she had a daughter like her?
힘들어,it's hard
잘 키워야 할 텐데,I need to raise him well
언니네 멍뭉이 이름이 뭐였지?,What was your sister's puppy's name?
아 우리 집 강아지 이름은 가을이,"Oh, my dog's name is Autumn"
가을이 밥은 요즘 잘 먹어?,Is Autumn eating well these days?
웅 잘 먹지,"Yeah, I ate well"
가을이 너무 기여워,I love fall so much
키키 언니 가을이 수제 간식도 먹여본 적 있어?,"Kiki, has Autumn ever fed you homemade snacks?"
웅 먹여주고 내가 만들어줘,"Yeah, feed it to me and I'll make it for you"
오 대박,Oh my gosh
언니네 집에 건조기 있어?,Does your sister have a dryer at home?
북어 말리고 건조 시켜,Dried and dried pollack
그럼 잘 먹어,Then eat well
북어 애들 진짜 좋아하긴 하더라!,Kids really like dried pollack!
웅 맞아 몸에 좋대,"Yeah, that's right, it's good for your health"
키키 맞아,Kiki is right
애기 사료는 뭐 먹여?,What do you feed your baby?
사료는 제일 좋은 걸로 사,Buy the best feed
동물병원에서 언니가 사 오는 거야?,Is your sister buying it from the animal hospital?
웅 구치,"Yeah, I'm sorry"
이름 먼지는 기억이 안 난다,I don't remember the name Dust
맞아 거기 다 영어로 된 사료 전시해 놓잖아!,"Yes, they have all the materials on display there in English!"
맞아 ㅠㅠ,Right ㅠㅠ
가격은 오만 원 정도,"The price is around 50,000 won."
언니 요즘 좋아하는 스포츠 있어?,"Sister, do you have a favorite sport these days?"
나는 골프 좋아해 요즘,I like golf these days
헐 언니도 필드 나갈 수 있어?,"Wow, can you go out to the field too, unnie?"
웅 필드 나갈 준비 중,"Yeah, getting ready to go out to the field"
헐 대박,"Wow, awesome"
그런 거를 머리 올린다고 얘기하잖아!,That's what they call lifting your head!
맞아 머리 올리러 가고 싶어 아빠랑,"Yes, I want to go get my hair done with dad"
키키 헐 아빠랑 같이 가는 거야?,"Kiki, are you going with your dad?"
아빠랑 가고 싶어,I want to go with dad
그래야 돈 내줘,Then give me the money
키키 아빠 골프채 좋은 거 많이 가지고 계시겠다!,Kiki's dad must have a lot of nice golf clubs!
키키 아빠 골프채 중고야,Kiki's dad's golf clubs are used
나도 중고,I also have used
키키 그래도 골프채 가격 꽤 되지 않아?,Kiki: But aren't golf clubs quite expensive?
웅 비싸지 좋은 건,"Yeah, it's expensive but good"
근데 나는 중고나라,But I'm in a second-hand country
키키 괜찮아,Kiki it's okay
아 그러면 언니 골프채 가격은 얼마인데?,"Oh, then how much does your sister's golf club cost?"
아 중고나라에서 20만 원 정도,"Ah, about 200,000 won on Junggonara"
와 봐봐,Come and see
중고래도 20만 원대잖아!,"Even if it's used, it's worth around 200,000 won!"
맞아,that's right
풀세트로 다해서 20만 원,"200,000 won for the full set"
언니는 뽑기 게임해본 적 있어?,"Sister, have you ever played a lottery game?"
웅 좋아해,Yeah I like it
어렸을 때 해봤지,I did it when I was young
언니 때도 가격 100원이었지?,Was the price 100 won when you were younger?
웅 맞아,"Yeah, that's right"
백원이었지 하하,It was a hundred won haha
키키 언니 그거 해서 뭐 뭐 따 봤어?,"Kiki, what did you get out of that?"
나는 지우개랑 딱지 재밌었는데,I had fun with the eraser and the sticker
지우개? 딱지?,Eraser? Sticker?
그런 게 나왔어?,Did something like that come out?
웅웅 복불복이라서 그런 게 나오더라,"Yeah, it's a hit or miss situation, so that's what happens"
아아 키키 대박이네,"Ahh Kiki, you're awesome"
나는 이거 해서 1등도 나와 봄!,I did this and got first place!
아 정말로 나는 한 번도 ㅠㅠ,Oh really I never ㅠㅠ
키키 나 1등 해서 문상도 타 봤어!,"Kiki, I got first place and even got a condolence gift!"
부럽다 진짜 문상도 타고,"I'm really jealous, you even gave me a condolence message"
난 없어,I don't have any
키키 문상으로 그때 맛있는 것도 사 먹음!,I bought some delicious food with Kiki's condolences!
아 정말 좋겠다,"Oh, that would be really nice"
나는 운이 없어 운이,"I'm unlucky, I'm unlucky"
키키 나 그때 공책 사려던 돈으로 산 거임!,"Kiki, I bought it with the money I was going to buy for notebooks back then!"
그래도 나도 나름 지우개 좋았어,"Still, I liked the eraser too"
친구랑 여행 가서 싸운 적은 없어?,Have you ever fought while traveling with a friend?
나는 정말 한 번도 없어,I really never have
나는 한 번 싸웠어!,I fought once!
개짱남!,He's so cool!
아 진짜 왜 싸웠어? ㅠㅠ,"Oh seriously, why did we fight? ㅠㅠ"
심하게?,badly?
어! 계획표 다 세웠는데 피곤하다고 잔다는 거야!,"Oh! I made all the plans, but you're saying you're tired and going to sleep!"
아 정말 피곤해하면 너무 하다,"Oh, it's too much if you're really tired"
키키 그니까,"Kiki, that's right"
아니 여행 가면 피곤해도 다녀야 하는 거 아니야!?,"But when you travel, you have to go even if you're tired, right!?"
아 정말 화날 만하네 진짜,"Oh, I'm really mad, really"
키키 인정,Kiki admits
그래서 나 혼자 나왔잖아!,That's why I came out alone!
아 진짜 같이 여행 다녀야 하는 건데,"Oh, we really need to travel together"
"그니까,","So,"
"밥도 나 혼자 먹었어,","I ate rice by myself too,"
와 진짜 그건 너무하다,"Wow, that's really too much"
키키 어쩔 수 없지,"Kiki, I can't help it"
그래서 걔랑 다시는 여행 안 가!,So I'm never traveling with him again!
그래도 대단하다 혼자 밥 먹고 키키 케,"Still, it's great that you can eat alone and eat Kikki Ke"
키키 어쩔 수 없지,"Kiki, I can't help it"
나도 먹고 살아야 하는데!,I have to eat to live too!
진짜 담엔 혼자 가서 여행해,I really need to go and travel alone next time.
언니는 어느 계절을 제일 좋아해?,"Sister, what season do you like the most?"
나는 요즘 날씨가 너무 좋아,I really like the weather these days.
언니도 그러면 가을 날씨가 제일 좋아?,"Sister, do you like fall weather the best?"
가을 겨울 사이가 제일 좋아,I like the time between fall and winter the best
아 나도 인정,"Oh, I admit it too"
나도 이런 날씨 되게  좋아해!,I really like this kind of weather too!
진짜 시원하니 좋아 덥지도 않고,"It's really cool, I like it, it's not hot"
키키 맞아,Kiki is right
오늘은 근데 비 오지 않았어?,But didn't it rain today?
웅 비 왔어,"Yeah, it rained"
쌀쌀하다 좀,It's a bit chilly
그치?,right?
아침에 논산 비 왔다고 얘기 들었음!,I heard it rained in Nonsan this morning!
아 진짜?,Oh really?
그건 모르겠다,I don't know about that
못 봤어,I haven't seen it
언니 비 오는 거 못 봤어?,"Sister, haven't you seen it raining?"
웅 못 봤어,"Yeah, I haven't seen it"
바닥이 축축하더라,The floor was wet
키키 아 그래서 비 온 건지 안 거야?,"Kiki, so it rained or something?"
웅 그래서 알았어,"Yeah, I see"
보진 못하고,I can't see it
키키 그렇구나,"Kiki, I see"
나는 출근할 때 비가 오더라!,It was raining when I went to work!
웅 항상 우산 챙겨,"Yeah, always bring an umbrella"
언니 혹시 긁는 복권해 봤어?,"Sister, have you ever tried scratching a lottery ticket?"
웅 알지 알지,"Yeah, I know, I know"
해봤어,I tried it
언니 최고로 많이 나온 금액은 얼마였어?,"Sister, what was the highest amount you ever paid?"
없어 소득이,No income
항상 꽝,Always a dud
키키 나는 10만 원짜리 한 번 돼 본 적 있다?,"Kiki Have you ever had a 100,000 won bill?"
와 진짜,"Wow, really"
그걸로 뭐했어?,What did you do with it?
나? 그걸로 만 원어치 복권 샀음!,Me? I bought a lottery ticket worth ten thousand won with that!
나도 그런 운도 없지,I don't have that kind of luck either
너는 운도 좋다,You are lucky
키키 그러게,"Kiki, that's right"
"근데 이번에 기사 보니까 20억 당첨된 사람이 있대,","But this time, I saw an article saying that there was someone who won 2 billion won."
와 진짜,"Wow, really"
20억 되면 넌 머 할 거야,What would you do if you had 2 billion?
키키 나? 당연히 집부터 사지 않을까?,"Kiki? Of course, wouldn't you buy a house first?"
나는 집 사고 건물주하고 차 사고,"I bought a house, owned a building, and bought a car"
키키 맞아,Kiki is right
언니 그러면 말 나온 김에 이번에 사러 갈래?,"Sister, while we're on the subject, do you want to go buy it this time?"
웅 같이 가자,"Yeah, let's go together"
진짜 생각만 해도 좋다,It's really nice to just think about it
키키 언니 에이티엠기에서 만 원만 뽑아 와!,"Kiki, come and get ten thousand won from the ATM machine!"
웅 진짜 만 원도 없는데 너가 줄래,"Yeah, I don't even have ten thousand won, but you want to give it to me?"
언니 혹시 비트코인 해 봤어?,"Sister, have you ever tried Bitcoin?"
웅 알지 알지,"Yeah, I know, I know"
들어만 봤어,I've only heard of it
키키 나도 그러면 언니 혹시 도지코인이라고 알아?,"Kiki, me too, sis, do you happen to know about Dogecoin?"
나도 한번 해보고 싶어,I want to try it too
도지코인은 머야?,What is Dogecoin?
도지코인이 비트코인 같은 건데 한 번도 못 들어 봤어?,"Have you never heard of Dogecoin, which is like Bitcoin?"
도지코인이 더 좋은 거야? 비트 그거보다?,Is Dogecoin better than Bitcoin?
"음, 똑같은 코인인데 이 코인이 올해 초에 엄청 이슈였잖아!","Well, it's the same coin, but this coin was a huge issue earlier this year!"
웅 나는 주식밖에 안 해서 잘 모르겠다,"Yeah, I don't know much because I only do stocks."
먼데 설명해죠,Let me explain further
키키 아 그러면 언니 혹시 테슬라는 알아?,"Kiki: Then, sis, do you happen to know about Tesla?"
웅웅 알아,"Yeah, I know"
들어봤다 아빠한테,I heard from my dad
키키 그거 차 브랜드 이름인 건 알지?,"Kiki, you know that's a car brand name, right?"
아 아빠가 말해줘서 처음 알았어,"Oh, I just found out because my dad told me"
어 그 테슬라 대표가 도지코인에 투자를 많이 했거든!,"Oh, that Tesla CEO invested heavily in Dogecoin!"
와 진짜 역시 있는 사람이야,"Wow, he really is a real person"
근데 그 도지코인 1조를 투자해서 1조를 더 벌었대!,But he invested 1 trillion in Dogecoin and earned 1 trillion more!
아 정말,Oh really
"1조 대박,","1 trillion jackpot,"
부럽다 1조 와,I'm jealous of you 1 trillion
언니 파운데이션은 어디 꺼 써?,"Sister, where do you get your foundation from?"
웅 파운데이션은 아이오페,Yeah foundation is IOPE
아이오페?,IOPE?
거기가 촉촉하니 좋아?,Do you like it moist there?
웅 아이오페 거 촉촉하니 건성 피부에 좋아,"Yeah, IOPE is moisturizing, so it's good for dry skin."
언니 그러면 디올 펙트는 써 봤어?,"Sister, have you tried Dior Pect?"
웅 디올이랑 입생로랑 둘 다,"Yeah, both Dior and YSL"
근데 아이오페 거가 제일 좋아서 갈아 탔어?,But did you switch to IOPE because you liked it the best?
웅 그게 나랑 잘 맞아,"Yeah, that suits me just fine"
그렇구나,I see
아니 디올에서 파운데이션 샘플을 준대!,"No, Dior gave me a foundation sample!"
너는 어디 꺼 쓰는데? 원래?,Where did you get it from? Originally?
나는 그냥 올영에서 파는 거 쓰거든!,I just use what they sell at Olyoung!
그냥 피부가 좋은가 보네,I guess you just have good skin
올영도 좋지,Olyeongdo is also good
"키키 아니야,","No, it's Kiki"
안 좋아,I don't like it
근데 디올에서 준다길래 한번 써보려고!,"But since Dior gave it to me, I wanted to try it!"
나도 갖고 싶다,I want it too
주세요 저도,Please me too
키키 이거 샘플 신청하면 돼!,"Kiki, you can request a sample of this!"
아 정말,Oh really
신청해야겠다 나도,I should apply too
언니 혹시 술 좋아해?,"Sister, do you like alcohol?"
웅 진짜 좋아하지,"Yeah, I really like it"
맨날 먹어,Eat it every day
키키 아 진짜?,"Kiki, really?"
언니 주량 어떻게 돼?,"Sister, how much can you drink?"
소주 2병은 거뜬하지,Two bottles of soju are easy
키키 원샷,Kiki one shot
와 대박 키키,"Wow, awesome Kiki"
언니 어디 소주 좋아해?,"Sister, what kind of soju do you like?"
나는 참이슬 좋아해 하하 맥주도,I like Chamisul haha and beer too
키키 젊은 사람들은 웬만하면 다 참이슬 좋아하는구나?,"Kiki: Most young people like Chamisul, don't they?"
맞아,that's right
린도 좋아하고,I like Lindo too
맥주는 카스지,Beer is Cass
근데 그렇게 마시면 속은 괜찮아?,"But if you drink like that, will you feel okay?"
마시면 머리 아프고 간이 아프지,"If you drink it, you will get a headache and a liverache"
오우 언니 밀크씨슬 꼭 먹어!,"Oh, sis, you must try the milk thistle!"
엄청 속이 쓰려,I feel so sick
밀크씨슬 좋다고 하더라,They say milk thistle is good
키키 맞아,Kiki is right
언니 같은 사람들은 밀크씨슬 필수임!,"For people like my sister, milk thistle is a must!"
나도 하나 사봐야겠다,I should buy one too
챙겨 먹어야지,I have to eat well
키키 어 그거 2만 원이면 60정짜리 살 수 있어!,"Kiki: Oh, you can buy 60 tablets for 20,000 won!"
아 진짜,Oh really
어디서 사야 돼,Where can I buy it?
언니는 온라인에서 주로 뭐 사?,"What do you usually buy online, sister?"
웅 당근마켓에서 옷 신발,"Yeah, clothes and shoes from Carrot Market"
당근마켓에서 옷이랑 신발을 샀다고?,You bought clothes and shoes at Carrot Market?
당근마켓에서 옷이랑 신발 샀어,I bought clothes and shoes at Carrot Market
그렇구나,I see
최근에는 뭐 샀어?,What have you bought recently?
최근에 나이키 신발 샀어,I recently bought some Nike shoes.
나이키 신발?,Nike shoes?
요즘에 유행하는 거 있던데 그거 삼?,There's something that's trendy these days. Should I buy that?
범고래 3만 원에 샀어,I bought a killer whale for 30 thousand won
범고래 키키 원래 가격은 얼마인데?,What is the original price of Kiki the Killer Whale?
원래는 40 정도 하는 걸로 알고 있어,I originally thought it was around 40
와 대박,"Wow, awesome"
근데 3만 원에 파는 사람이 있어?,"But is there anyone selling it for 30,000 won?"
그니까 말이야,That's what I'm saying
이상해,It's weird
짭인가 봐 키키,Looks salty Kiki
키키 언니 3만 원 주고 짭 사온 거야!?,"Kiki, you bought it for 30,000 won!?"
짭인 거 같아,I think it's salty
나 당했어,I got hit
키키 아 진짜?,"Kiki, really?"
확실해?,Are you sure?
짭인 거 확실하냐구!,Are you sure it's salty?
그래도 삼만 원이면 개이득이긴 한데,"Still, it's a huge gain for thirty thousand won."
언니가 실제로 봤던 연예인 있어?,"Sister, have you ever actually seen a celebrity?"
나는 신민아 봤어 가로수 길에서,I saw Shin Min-a on Garosu-gil
와 대박,"Wow, awesome"
신민아 완전 마네킹이라던데?,They say Shin Min-a is like a total mannequin?
웅 맞아,"Yeah, that's right"
보조개 완전 이뻐,The assistant is really pretty
키키 아 진짜?,"Kiki, really?"
무슨 촬영하다가 본 거야?,What did you see while filming?
아니 지나가다가,"No, I was just passing by"
나도 그렇게 생기고 싶다 ㅠㅠ,I want to look like that too ㅠㅠ
"키키 나도,","Kiki me too,"
"근데 이미 키에서부터 망함,","But it's already ruined from the start,"
나도 이미 몸무게에서부터 망했어,I'm already ruined from the weight point of view
키키 몸무게는 당연한 거 아니야?,Isn't Kiki's weight something to be taken for granted?
몸무게 53키로인데 날씬한 거 아니야?,"I weigh 53 kilos, but I'm not slim."
키키 신민아가 몸무게 53키로라는 거야?,Kiki Shin Min-a weighs 53 kilograms?
키가 175아니야? 신민아? 키키,Isn't she 175cm tall? Shin Min-a? Kiki
키키 아니,Kiki no
"175까지는 아니어도 최소 170은 넘을걸,?","It shouldn't be 175, but at least 170, right?"
키 엄청 커 보이던데 멋있어,"You look so tall, you're cool"
키키 그게 얼굴이 엄청 작아서 더 커 보이는 거래!,"Kiki, that's because your face is so small that it looks even bigger!"
얼굴이 주먹만 하긴 했어 진짜로,His face was really as big as a fist
언니는 영화 보는 거 좋아해?,Does your sister like watching movies?
웅 그럼 좋아하지 영화관 ㅠ,"Yeah, then I like movie theaters ㅠ"
